"Date","Google","Baidu","Yahoo!","bing","YANDEX","Shenma","YANDEX RU","DuckDuckGo","Naver","Sogou","Ecosia","Haosou","Seznam","Other"
2016-03,95.11,1.48,2.07,0.62,0.19,0.08,0.13,0.05,0.08,0.03,0,0.01,0.01,0.13
2016-04,94.93,1.33,2.34,0.72,0.2,0.12,0.13,0.06,0.08,0.04,0,0.01,0.01,0.04
2016-05,94.55,1.57,2.49,0.64,0.19,0.2,0.13,0.06,0.07,0.06,0,0.01,0.01,0.03
2016-06,94.67,1.71,2.23,0.68,0.16,0.18,0.12,0.06,0.08,0.05,0,0.01,0.01,0.03
2016-07,94.36,2.17,2,0.7,0.21,0.19,0.11,0.06,0.09,0.05,0,0.01,0.01,0.04
2016-08,95.04,1.75,1.75,0.71,0.2,0.19,0.11,0.06,0.09,0.04,0,0.01,0.01,0.04
2016-09,95.32,1.42,1.56,1.01,0.2,0.19,0.1,0.05,0.07,0.05,0,0.01,0.01,0.03
2016-10,95.42,1.18,1.53,1.24,0.17,0.16,0.1,0.05,0.05,0.05,0,0.01,0.01,0.03
2016-11,95.74,1.09,1.33,1.25,0.18,0.11,0.1,0.05,0.06,0.04,0,0.01,0.01,0.03
2016-12,95.26,1.38,1.3,1.39,0.23,0.14,0.11,0.05,0.05,0.04,0,0.01,0.01,0.03
2017-01,95.97,1.27,1.33,0.75,0.21,0.15,0.11,0.06,0.06,0.06,0,0.01,0.01,0.03
2017-02,95.22,1.37,1.29,1.35,0.19,0.22,0.11,0.06,0.07,0.07,0,0.01,0.01,0.03
2017-03,95.29,1.38,1.23,1.37,0.19,0.21,0.1,0.06,0.09,0.05,0,0,0.01,0.03
2017-04,95.34,1.44,1.02,1.42,0.19,0.24,0.1,0.06,0.1,0.04,0,0,0.01,0.03
2017-05,94.8,1.89,1.02,1.47,0.19,0.25,0.1,0.06,0.12,0.04,0,0,0.01,0.03
2017-06,95.05,1.88,1.03,1.26,0.21,0.14,0.11,0.07,0.14,0.05,0,0.01,0.01,0.04
2017-07,95.35,1.85,1.07,0.8,0.27,0.23,0.11,0.07,0.11,0.08,0,0.01,0.01,0.02
2017-08,95.07,1.97,1.12,0.64,0.34,0.36,0.12,0.09,0.12,0.1,0,0.02,0.01,0.05
2017-09,95.33,1.87,1.17,0.68,0.25,0.16,0.14,0.1,0.12,0.09,0,0.02,0.01,0.07
2017-10,94.73,2.57,1.11,0.61,0.27,0.12,0.18,0.11,0.14,0.11,0,0.02,0.01,0.03
2017-11,95.35,2.31,0.73,0.57,0.22,0.12,0.22,0.11,0.19,0.11,0,0.03,0.02,0.02
2017-12,94.96,2.24,0.68,0.54,0.23,0.6,0.24,0.12,0.19,0.12,0,0.04,0.01,0.03
2018-01,94.94,1.9,0.88,0.47,0.21,0.8,0.26,0.11,0.2,0.15,0,0.04,0.01,0.03
2018-02,94.67,1.78,0.97,0.45,0.21,1.1,0.27,0.11,0.23,0.14,0,0.04,0.02,0.02
2018-03,94.84,2.07,1.06,0.58,0.16,0.39,0.31,0.14,0.23,0.12,0,0.04,0.01,0.02
2018-04,93.81,2.9,1.04,0.79,0.14,0.43,0.32,0.16,0.19,0.13,0,0.04,0.02,0.02
2018-05,93,3.08,1.07,0.72,0.16,1.02,0.34,0.17,0.19,0.16,0,0.04,0.02,0.03
2018-06,93.39,2.66,1.07,0.76,0.17,0.97,0.32,0.17,0.18,0.19,0,0.07,0.02,0.02
2018-07,93.59,2.56,1.37,0.7,0.2,0.66,0.32,0.17,0.17,0.14,0,0.08,0.02,0.02
2018-08,94,1.77,1.83,0.74,0.22,0.53,0.32,0.18,0.16,0.17,0,0.06,0.02,0.02
2018-09,94.65,1.04,1.92,0.81,0.29,0.31,0.33,0.22,0.21,0.14,0,0.04,0.02,0.02
2018-10,94.79,1.03,1.81,0.83,0.28,0.4,0.34,0.22,0.13,0.12,0,0.03,0.01,0.02
2018-11,93.6,1.46,1.93,1.19,0.33,0.45,0.39,0.29,0.15,0.13,0,0.04,0.01,0.02
2018-12,94.26,1.31,1.42,1.17,0.47,0.38,0.34,0.39,0.11,0.09,0,0.04,0.01,0.02
2019-01,95.19,1.16,0.98,1.1,0.33,0.33,0.32,0.35,0.11,0.08,0,0.02,0.01,0.02
2019-02,95.2,1.45,1.02,0.82,0.32,0.33,0.33,0.28,0.11,0.09,0,0.02,0.01,0.02
2019-03,95.29,1.19,0.99,0.74,0.62,0.37,0.34,0.25,0.09,0.08,0,0.02,0.01,0.02
2019-04,95.75,1.27,1.02,0.68,0.26,0.18,0.32,0.25,0.14,0.08,0,0.02,0.02,0.02
2019-05,95.63,1.19,1.11,0.7,0.3,0.18,0.33,0.28,0.15,0.08,0,0.01,0.02,0.02
2019-06,95.58,1.32,1.04,0.7,0.3,0.15,0.36,0.29,0.15,0.06,0,0.01,0.02,0.02
2019-07,94.53,1.53,1.24,1.04,0.35,0.12,0.41,0.5,0.13,0.07,0.02,0.01,0.02,0.02
2019-08,94.72,1.39,1.17,1.08,0.36,0.1,0.34,0.5,0.14,0.08,0.07,0.01,0.02,0.02
2019-09,95.86,1.11,0.92,0.61,0.4,0.15,0.29,0.31,0.13,0.08,0.09,0.01,0.01,0.02
2019-10,95.69,1.11,0.9,0.88,0.35,0.17,0.34,0.3,0.07,0.08,0.08,0.01,0.01,0.02
2019-11,95.79,1.03,0.88,0.53,0.6,0.16,0.41,0.3,0.09,0.08,0.08,0.01,0.01,0.02
2019-12,95.58,1.26,0.89,0.53,0.49,0.17,0.43,0.33,0.11,0.1,0.08,0.01,0.01,0.02
2020-01,95.65,1.36,0.9,0.51,0.37,0.13,0.43,0.33,0.07,0.11,0.08,0.01,0.01,0.03
2020-02,95.06,1.89,0.88,0.46,0.4,0.16,0.42,0.32,0.15,0.14,0.08,0.02,0.01,0.03
2020-03,95.14,1.72,0.85,0.45,0.47,0.14,0.39,0.3,0.28,0.12,0.07,0.02,0.02,0.03
2020-04,95.62,1.29,0.93,0.49,0.46,0.09,0.4,0.33,0.13,0.11,0.08,0.02,0.02,0.03
2020-05,95.31,1.4,0.93,0.47,0.66,0.06,0.39,0.34,0.15,0.13,0.08,0.02,0.02,0.03
2020-06,95.01,1.22,0.9,0.53,1.11,0.06,0.36,0.38,0.16,0.12,0.07,0.02,0.03,0.02
2020-07,95.37,1.09,0.86,0.51,1,0.06,0.33,0.39,0.11,0.12,0.07,0.03,0.03,0.02
2020-08,95.29,1.21,0.89,0.49,0.9,0.05,0.31,0.42,0.19,0.11,0.07,0.02,0.03,0.03
2020-09,95.4,1.48,0.85,0.46,0.6,0.05,0.32,0.39,0.2,0.11,0.07,0.02,0.02,0.03
2020-10,95.68,1.42,0.79,0.43,0.51,0.07,0.33,0.38,0.15,0.1,0.07,0.02,0.02,0.03
2020-11,95.23,1.53,0.84,0.47,0.65,0.06,0.34,0.52,0.15,0.07,0.08,0.02,0.01,0.03
2020-12,94.55,1.81,0.76,0.44,1.16,0.05,0.37,0.47,0.19,0.05,0.07,0.02,0.01,0.03
2021-01,95.06,1.48,0.78,0.43,0.98,0.04,0.37,0.52,0.17,0.05,0.07,0.02,0.01,0.03
2021-02,95.03,1.8,0.8,0.42,0.73,0.04,0.38,0.48,0.13,0.05,0.07,0.02,0.02,0.03
2021-03,95.4,1.76,0.77,0.4,0.49,0.04,0.36,0.45,0.13,0.05,0.07,0.02,0.01,0.03
